#ies_format_version: 1.0
#file: 20250801_1000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 1.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device_A_31;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device_A_31
20250801;	163209;	1754046129.000;	           9
20250801;	163210;	1754046130.000;	           9
20250801;	163211;	1754046131.000;	           9
20250801;	163212;	1754046132.000;	           9
20250801;	163213;	1754046133.000;	           9
20250801;	163214;	1754046134.000;	           9
20250801;	163215;	1754046135.000;	           9
20250801;	163216;	1754046136.000;	           9
20250801;	163217;	1754046137.000;	           9
20250801;	163218;	1754046138.000;	           9
20250801;	163219;	1754046139.000;	           9
20250801;	163220;	1754046140.000;	           9
20250801;	163221;	1754046141.000;	           9
20250801;	163222;	1754046142.000;	           9
20250801;	163223;	1754046143.000;	           9
20250801;	163224;	1754046144.000;	           9
20250801;	163225;	1754046145.000;	           9
20250801;	163226;	1754046146.000;	           9
20250801;	163227;	1754046147.000;	           9
20250801;	163228;	1754046148.000;	           9
20250801;	163229;	1754046149.000;	           9
20250801;	163230;	1754046150.000;	           9
20250801;	163231;	1754046151.000;	           9
20250801;	163232;	1754046152.000;	           9
20250801;	163233;	1754046153.000;	           9
20250801;	163234;	1754046154.000;	           9
20250801;	163235;	1754046155.000;	           9
20250801;	163236;	1754046156.000;	           9
20250801;	163237;	1754046157.000;	           9
20250801;	163238;	1754046158.000;	           9
20250801;	163239;	1754046159.000;	           9
20250801;	163240;	1754046160.000;	           9
20250801;	163241;	1754046161.000;	           9
20250801;	163242;	1754046162.000;	           9
20250801;	163243;	1754046163.000;	           9
20250801;	163244;	1754046164.000;	           9
20250801;	163245;	1754046165.000;	           9
20250801;	163246;	1754046166.000;	           9
20250801;	163247;	1754046167.000;	           9
20250801;	163248;	1754046168.000;	           9
20250801;	163249;	1754046169.000;	           9
20250801;	163250;	1754046170.000;	           9
20250801;	163251;	1754046171.000;	           9
20250801;	163252;	1754046172.000;	           9
20250801;	163253;	1754046173.000;	           9
20250801;	163254;	1754046174.000;	           9
